SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,system:index,id,lat,reach_id,Rrs1,Rrs2,Rrs3,Rrs4,Rrs5,Rrs6,Rrs7
0.0211122222222222,0.0321886111111111,0.0570913888888888,0.0478727777777777,0.0209991666666666,0.0231686111111111,0.0201619444444444,303.2324558,0,0,30.013803627364823,12,0.0067202290526424445,0.010245953139192073,0.018172753499296725,0.015238378445746324,0.006684242351621097,0.007374797965814283,0.006417746241355007
-0.01757875,-0.0284078571428571,0.0346771428571428,0.0298292857142857,0.0667539285714285,0.0708475,0.0576003571428571,298.65458768,1,1,30.376131179081977,73256000445,-0.00559548991175331,-0.009042501773868228,0.011038077396036175,0.009494956540658055,0.021248435405892302,0.02255145966140611,0.01833476312628854
0.1157916666666666,0.12932625,0.1491972916666667,0.154585,0.1777331249999999,0.158435,0.1307333333333333,294.905874245,2,2,30.98511683833454,73255000265,0.03685763223769808,0.04116582391807646,0.0474909729293465,0.049205933755721284,0.056574210789839416,0.05043142681752887,0.041613712453760894
0.0885277083333333,0.1015947916666666,0.1290604166666667,0.128081875,0.1175677083333333,0.1061277083333333,0.08661875,302.39788925000005,3,3,31.294064159614837,73255000215,0.02817924476369514,0.03233862657228257,0.04108120653999928,0.04076972705345651,0.03742296385847242,0.03378149876052986,0.027571604453882216
0.0393025,0.0503675,0.0834775,0.066815,0.2873424999999999,0.17295,0.0937375,301.58383081999995,4,4,31.998412607695105,73253000086,0.012510374301738432,0.01603247319236208,0.026571713523907387,0.021267875045369974,0.09146395847076584,0.05505169481548659,0.02983757295615308
0.0504375,0.0678575,0.1068325,0.100705,0.11823,0.1098125,0.0860075,300.48322838,5,5,32.0841345818479,73252001605,0.016054754884394944,0.021599713101716576,0.034005840915729814,0.03205539708813864,0.037633777843509575,0.034954404376557516,0.027377037535952376
0.0299825,0.04182125,0.062865625,0.0568053124999999,0.0445678125,0.03656875,0.0295562499999999,303.1650923225,6,6,32.55801637194618,16,0.009543726162505504,0.013312117327563855,0.020010749938622865,0.01808169255650963,0.014186375324335523,0.011640194650383495,0.00940804657351963
0.0340525,0.0391675,0.0545537499999999,0.04330625,0.03923625,0.0276725,0.02204875,305.13002657,7,7,32.8160818522703,73251000406,0.010839247399273532,0.012467402467103622,0.01736499795339894,0.013784807508546784,0.012489286271778758,0.008808430325420948,0.0070183351029948545
0.0781178124999999,0.0836281249999999,0.11282625,0.09172,0.3710134375,0.183851875,0.092936875,301.08138188,8,8,33.21305757174228,1,0.02486567200580167,0.02661965895051379,0.03591371079604391,0.02919538276077728,0.11809724506328194,0.05852186940592651,0.029582726103527184
0.0759796874999999,0.0831915625,0.09957125,0.0953603124999999,0.0919743749999999,0.053886875,0.038500625,295.365597935,9,9,33.29309248534798,2,0.024185085680404953,0.026480696790826708,0.031694513254677766,0.03035413021832568,0.02927635283807525,0.017152725048050155,0.012255129561754806
0.1139812499999999,0.12883125,0.15347125,0.1586733333333333,0.19204,0.1442083333333333,0.114105,297.72431657,10,10,34.18480619155341,73218000806,0.03628135871458616,0.04100826052441549,0.04885141611998409,0.05050729067373601,0.06112823054273516,0.04590293817008747,0.03632074956300144
0.0694725,0.091346,0.1104841666666666,0.1167303333333333,0.1431303333333333,0.1224356666666666,0.1060254999999999,298.31984958799995,11,11,35.12112434712146,3,0.0221137835679034,0.029076334863344544,0.03516820251677761,0.03715641911752927,0.045559800112781344,0.03897248312150318,0.033748964837579463
