SR_B3,SR_B4,system:index,No,latitude,longitude,Rrs_B3,Rrs_B4
0.08325,0.07245625,0,1,37.864444,-76.762222,0.026499298024800576,0.023063540690804282
0.0720781249999999,0.068874375,1,2,37.504444,-76.7875,0.022943179765091005,0.02192339446722972
0.064055,0.055715625,2,3,37.221389,-76.893611,0.020389339759502714,0.017734834252408762
